Qualification,East Khasi Hills,West Khasi Hills,South West Khasi Hills,West Garo Hills,East Garo Hills,South Garo Hills,South West Garo Hills,North Garo Hills,West Jaintia Hills,East jaintia Hills,Ri Bhoi
Illiterate,32,6,0,0,1,0,0,1,0,0,2
1st Pass,7,5,0,0,1,0,0,0,0,0,1
Cert-PHYSIO OCCUPATIONAL THERAPY,2,0,0,0,0,0,0,0,0,0,0
2nd Pass,2,0,0,1,0,0,0,0,2,0,1
3rd Pass,12,1,0,0,0,0,0,0,2,2,6
4th Pass,15,0,0,2,0,0,0,0,9,2,6
Dip-AGRICULTURAL BUSINESS MANAGEMENT,1,0,0,0,0,0,0,0,0,0,0
5th Pass,31,9,0,2,0,0,0,0,33,5,7
Diploma Animation and 3D visual effects,1,0,0,0,0,0,0,0,0,0,0
6th Pass,42,18,0,0,0,0,0,4,115,22,8
7th Pass,94,35,0,6,1,0,1,12,174,60,8
Dip-ARCHITECTURE ASSISTANT,14,0,0,0,0,0,0,0,15,1,0
8th Pass,628,237,0,42,5,0,2,35,631,202,88
Dip-AUTO ENGINEERING TECHNICIAN,3,0,0,0,0,0,0,0,0,0,0
9th Pass - OLD,1056,280,0,73,46,0,3,252,851,267,108
Matriculation,26340,2472,1,416,248,39,118,1010,6466,3977,1380
HSSLC- Arts,2247,30,0,0,0,0,24,0,0,0,30
HSSLC- Commerce,487,3,0,0,0,0,1,0,0,0,1
Dip-BIOMEDICAL ELECTRONICS,3,0,0,0,0,0,0,0,0,0,0
H.S.C.-MCVC,0,1,0,1,0,0,0,0,1,1,0
HSSLC- Science,415,8,0,0,0,0,1,0,0,0,6
Cert-SERICULTURE,1,0,0,0,0,0,0,0,0,0,0
BACHELOR OF HOTEL & TOURISM MANAGEMENT STUDIES,27,0,0,0,0,0,0,0,1,0,0
Dip-COMPUTER PROCESSING,1,1,0,0,0,0,0,0,0,0,0
PG Dip-COMPUTER AIDED DESIGN,0,0,0,0,0,0,0,0,0,0,1
PG Dip-COMPUTER APPLICATION,78,4,0,0,0,0,0,0,16,9,3
Dip-DISASTER MANAGEMENT,3,0,0,0,0,0,0,0,0,0,0
Dip-COMPUTER APPLICATION,17,0,0,1,0,0,0,0,5,2,0
PG Dip-ENVIRONMENTAL MANAGEMENT,1,0,0,0,0,0,0,0,0,0,0
PG Dip-FINANCIAL MANAGEMENT,0,0,0,0,0,0,0,0,0,0,1
Cert-YOGA,1,0,0,0,0,0,0,0,0,0,0
Cert-WEB PAGE DESIGN,0,0,0,1,0,0,0,0,0,0,0
Dip-AIR CRAFT MAINTENANCE,1,0,0,0,0,0,0,0,0,0,0
Cert-AUTOMOBILE MECHANIC,1,0,0,0,0,0,0,0,0,0,0
Cert-REFRIGERATION AND A.C.,1,0,0,0,0,0,0,0,0,0,0
PG Dip-MANAGEMENT,4,0,0,0,0,0,0,0,0,0,0
Cert-D.T.P.,2,0,0,0,0,0,0,0,1,0,0
Dip-LITERATURE,1,0,0,0,0,0,0,0,0,0,0
ITI-FRUIT PRESERVATION,5,0,0,0,0,0,0,0,0,0,0
Dip-CT SCAN TECHNICIAN,1,0,0,0,0,0,0,0,0,0,0
PG Dip-MEDICAL VIROLOGY,1,0,0,0,0,0,0,0,0,0,0
Dip-MECHANICAL MAINTENANCE,2,0,0,0,0,0,0,0,0,0,0
Dip-MUSIC,2,1,0,0,0,0,0,0,0,0,0
Dip-COMPUTER HARDWARE MAINTE AND NETWORK TECHNO,5,0,0,0,0,0,0,0,0,0,0
Dip-COMPUTER TECHNOLOGY,3,0,0,0,1,0,0,0,0,0,0
Dip-PHOTOGRAPHY,1,0,0,1,0,0,0,0,1,0,0
PG Dip-TOURISM,1,0,0,0,0,0,0,0,0,0,0
Dip-RURAL DEVELOPMENT,1,0,0,0,0,0,0,0,0,0,0
App-Dip-AUDIO AND VIDEO ENGG,0,0,0,0,1,0,0,0,0,0,0
App-Dip-AUTOMOBILE,2,0,0,0,0,0,0,0,0,0,0
App-Dip-ELECTRICAL POWER,1,0,0,0,0,0,0,0,0,0,0
App-Dip-MECHANICAL,1,0,0,0,0,0,0,0,0,0,0
App-Dip-COMPUTER H/W MAINTENANCE AND TECHNOLOGY,0,0,0,1,0,0,0,0,0,0,0
Dip-App-AUTOMOBILE ENGG,4,0,0,1,0,0,0,0,0,3,0
App-Dip-ELECTRONICS ENGG,1,0,0,2,0,0,0,0,0,0,0
App-Dip-AERONAUTICAL,1,0,0,0,0,0,0,0,0,0,0
App-Dip-ELECTRICAL ENGG,2,0,0,1,0,0,0,0,0,0,1
App-Dip-ELECTRONICS & COMM ENGG,1,0,0,0,0,0,0,0,0,0,0
App-Dip-COMPUTER ENGG.,2,0,0,0,0,0,0,0,0,0,0
App-Dip-CIVIL,1,0,0,0,0,0,0,0,0,0,0
App-Dip-INFORMATION TECHGY,1,0,0,0,0,0,0,0,0,0,0
App-Dip-COMMUNICATION,1,0,0,0,0,0,0,0,0,0,0
BACHELOR OF FINANCE AND MATERIAL MANAGEMENT,1,0,0,0,0,0,0,0,0,0,0
BACHELOR OF TOTAL QUALITY MANAGEMENT,3,0,0,0,0,0,0,0,0,0,0
BACHELOR OF OPTOMETRY,2,0,0,0,0,0,0,0,1,0,0
BACHELOR OF ARCHITECTURE,3,0,0,0,0,0,0,0,2,0,0
BACHELOR OF PERFORMING ARTS,1,0,0,0,1,0,0,0,0,0,0
B.Ed. MENTAL RETARDATION,2,0,0,0,0,0,0,0,0,0,0
B.A.B.Ed.(INTEGRATED COURSE),2,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-COMPUTER MAINTENANCE ENGINEERING,3,0,0,0,0,0,0,0,0,0,0
B.E./B.Tech-COMPUTER PROGRAMMING,2,0,0,0,0,0,0,0,0,0,0
"B.E./B.Tech-ENERGY SYSTEM.""",1,0,0,0,0,0,0,0,0,0,0
Bioorthogonas Agents Imaging Therapy(BAIT),1,0,0,0,0,0,0,0,0,0,0
BA-MASS COMMUNICATION & JOURNALISM,3,0,0,0,0,0,0,0,0,0,0
B.MLT,3,0,0,0,0,0,0,0,0,0,0
BA Psychology,1,0,0,0,0,0,0,0,0,0,0
BACHELOR IN BUSSI.ADMN.,275,6,0,6,0,0,0,0,15,15,1
BBA-Finance,1,0,0,0,0,0,0,0,0,0,0
BBA-Marketing,1,0,0,0,0,0,0,0,0,0,0
BBA- TOURISM AND HOSPITALITY,2,0,0,0,0,0,0,0,0,0,0
BBM,2,0,0,0,0,0,0,0,0,0,0
BACHELOR OF BUSINESS STUDIES,11,0,0,0,0,0,0,0,6,3,4
BACHELOR OF DESIGN(B.DES.),4,0,0,0,0,0,0,0,0,0,0
B.Ed. Inclusive Education Others,1,0,0,0,0,0,0,0,0,0,0
B.Ed-Science,1,0,0,0,0,0,0,0,0,0,0
BACHELOR IN BIO MEDICAL ENGG,7,0,0,0,0,0,0,0,0,1,1
BACHELOR OF FISHERIES SCIENCE,12,0,0,0,0,0,0,0,2,0,1
BACHELOR OF FOREIGN TRADE,1,0,0,0,0,0,0,0,0,0,0
B.S.L.L.L.B-GEN/FIVE YEARS,12,0,0,0,0,0,0,0,0,0,1
BACHELOR OF HOME SCIENCE,5,1,0,0,0,0,0,0,9,0,0
MASTER OF NURSING,3,0,0,0,0,0,0,0,0,0,0
BACHELOR OF MASS COMMUNICATION,5,0,0,0,0,0,0,0,0,0,0
BACHELOR OF MASS MEDIA,3,0,0,0,0,0,0,0,0,0,0
BACHELOR OF MGMT STUDIES,10,0,0,0,0,0,0,0,0,0,1
B.Sc.-NURSING,87,5,0,0,1,0,0,0,10,0,6
B.Sc.-HOSPITALITY & HOTEL ADMINISTRATION,3,0,0,0,0,0,0,0,0,0,0
BACHELOR OF PROSTHETICS & ORTHOPAEDICS,4,0,0,0,0,0,0,0,0,0,0
B.Sc.-TECH-DEGREE,0,0,0,0,0,0,0,0,0,1,0
BSc-Geology,1,0,0,0,0,0,0,0,0,0,0
B.Sc. OPTOMETRY,0,1,0,0,0,0,0,0,0,0,0
BSc MLT,1,0,0,0,0,0,0,0,0,0,0
B Physiotherapy,26,0,0,0,0,0,0,0,3,1,0
B.Sc.-Radiography,2,0,0,0,0,0,0,0,0,0,0
B Trauma Emergency & Disaster Mgt,2,0,0,0,0,0,0,0,0,0,0
Cert-AGRICULTURE,3,1,0,0,0,0,0,0,0,0,0
Cert-ADULT EDUCATION,15,0,0,0,0,0,0,0,0,0,0
Cert-AYURVEDA,1,0,0,0,0,0,0,0,0,0,0
Cert-COMMUNICATIVE IN ENGLISH,1,0,0,0,0,0,0,0,0,0,0
Cert-COSMETICS AND BEAUTY TREATMENT,1,0,0,0,0,0,0,0,0,0,0
Cert-KNITTING,3,0,0,0,0,0,0,0,0,0,0
Cert-ELECTRICAL,1,0,0,0,0,0,0,0,0,0,0
Cert-ENVIRONMENTAL SCIENCE,2,1,0,0,0,0,0,0,0,0,0
Cert-FINANCIAL ACCOUNTING,3,1,0,0,0,0,0,0,0,0,0
Cert-FOOD PROCESSING,2,0,0,0,0,0,0,0,0,0,0
Cert-OFFSET PRINTING,1,0,0,0,0,0,0,0,0,0,0
Cert-INFORMATION TECHNOLOGY,1,0,0,0,0,0,0,0,1,0,0
Cert-OPTHALMIC ASSISTANT,1,0,0,0,0,0,0,0,0,0,0
Cert-OPTHALMIC TECHNOLOGY,1,0,0,0,0,0,0,0,0,0,0
Cert-CAD & ENGG DRAWING (AUTO CAD),3,0,0,0,0,0,0,0,0,0,0
